OER
Transit gap hangar toilet quite old. Can do with a renovation.
excellent coordination and support from DETC and EVTS. Made our ICT experience meaningful and fulfilling
The processes of handling and taking over could be more integrated and seamless with one point of contact
"Medical equipment hardware should be regularly maintained (AED bag, Mcool pad bag, etc) as their velcro/bag strap are spoilt"
Each of the 3 teams had 3 active commanders and 1 reserve commander. I thought it would better if the reserves just formed their own team since there were 3 of them. The reserves didn't end up doing much during the SRT sessions.
Trainers are very supportive and eager to share their knowledge
Better than last session - now the internet/mobile connectivity has improved
Safety was important and relayed well to us
No point introducing 2 separate menu in cookhouse if 1 menu is not available to be chosen.
Better cookhouse food
There is a technical issue for reservist personnel booking in to camp. There is a delay for personnel booking in as the gantry is unable to detect the service man's 11B.
"There is a technical issue for reservist personnel booking in to camp, as the gantry is unable to detect the service man's 11B. As a result, proof of documentation is required, such as the SAF100."
I very happy with my ICT
Have learn alot from both ms siva and ME6 Lawrence ng
"to provide fresh ration instead.
The current ration is salty."
Food can be better. Toilet can be better. Shorter outfield days. More proper sleeping area.
Have more toilets outfield.
In AAR
"The toilet amenities at 24SA can be better improved - one shower cubicle has its shower head dropped off, another cubicle has clogged drainage, and there’s no hand wash provided in the toilet for hygiene purposes."
"Bunks in 24SA have poor infrastructure such as broken shower heads, ponding issues etc."
"For the outfield location, can we ask some professionals to fume the area and get rid of the sand flies and mosquitoes before deployment. 
I was bitten by sandflies even after using the SAF issued repellent"
Nice
simpang training ground is not condusive for training.
"Stop wasting people’s time. 
Cut off unnecessary time wasting."
Better vehicle condition
There should be lesser night snack indented especially the cake to minimise the amount of food wastage.
Reduce outfield duration
More transparency with training schedule and planning between the commanders and men.
Advance contact of incoming first timer to ICT to know what is expected eg reporting etc
"RnS fams were forgotten on first day of outfield, resulting in us stranded for almost 3 hrs waiting with no clear instructions.

Pre ICT, I have no idea what to bring, where to report and who to report to. I had to figure out my way around by asking random officers around Khatib camp."
Logistics could've been better maintained.
To improve the gantry system during book in and book out. Often faced invalid book in or unable to scan NRIC.
"Pointless 3d 2n outfield. We have families outside of ns. Making us stay outfield to sleep is stupid.

Making us stay in camp to have ""7 hours of sleep"" is extremely silly.

NSF should help to clean equipment such as rifle sling when they are free. Basic hygiene should be there."
Need to check call up and ensure we are called up in time and not undercounted or over counter for low key and high keys. And also medals and achievements are awarded accordingly as this is my 10th ORNS and I completed 6 high key. 🤭
"To avoid calling back people with status or not able to go outfield, as this is not good for morale for the rest."
"The fresh ration given during outfield boosted morale. 

There could be more mission specific briefing on day 1 so that subsequent training could be more targeted and focused. Currently, we just train broadly and know of the mission closer to outfield days. If we know of the mission, we could better train and prepare ourselves during the training."
support equipment like forklifts to load up heavy equipment (eg. generators)
"There might be rain in war. Training can't stop. Don't be overly obsessed with safety. And also, ict is a waste of time."
"Mt rac form for TO can be improve, its buggy and promt unnessary error"
Please provide better vehicle. OR service army vehicle. OUV has no airflow/fan. signal set generates heat but vehicle has no working fan system. High risk for personnal on board vehicle manning system.
Can improve the food quality when go outfield… give coffee and tea also with plastic cups..
"Would like to highlight that although we are able to move out with the command post, the serviceability of the command post and PSD is not ideal. 

Selection of food menu outfield to feature less spicy menus."
Better food
Too long; 1.5weeks is ok.
Please add ict ppl to whitelist
Make better for out-ration and cookhouse food.
Improve link for HSP appointment. Can’t book
Hope to have more portable toilets in outfield. Outfield ration was good. Hope to have sufficient equipments and training booklets/handouts during training
Shortage of drivers. need to call back more drivers so that the ones going wont be so shag with lack of man power
"1) would prefer the use of smoke grenades and smart mag to make it more realistic 
2) radio sets and systems were old and at many times faulty, about time for an upgrade
3) To have combined training and better documentation for those handling signals/ radio equipment"
